h_name	t_name	type	source	relation	split
CCAT1	PPP1R10	protein_coding	CRISPR		
CCAT1	PXN	protein_coding	CRISPR		
CCAT1	NEU1	protein_coding	CRISPR		
CCAT1	ITGA6	protein_coding	CRISPR		
CCAT1	SLC20A1	protein_coding	CRISPR		
CCAT1	AFAP1	protein_coding	CRISPR		
CCAT1	SRGAP1	protein_coding	CRISPR		
CCAT1	JAK1	protein_coding	CRISPR		
CCAT1	ICAM1	protein_coding	CRISPR		
CCAT1	LRG1	protein_coding	CRISPR		
CCAT1	ABCG2	protein_coding	CRISPR		
CCAT1	TNFRSF10B	protein_coding	CRISPR		
CCAT1	CALCOCO1	protein_coding	CRISPR		
CCAT1	SQSTM1	protein_coding	CRISPR		
CCAT1	NRP1	protein_coding	CRISPR		
CCAT1	NNMT	protein_coding	CRISPR		
CCAT1	EPHX1	protein_coding	CRISPR		
CCAT1	ITGB1	protein_coding	CRISPR		
CCAT1	HIF1A	transcription_factor	CRISPR		
CCAT1	ZNF703	protein_coding	CRISPR		
CCAT1	EP300	protein_coding	CRISPR		
CCAT1	BMP1	protein_coding	CRISPR		
CCAT1	CREBBP	protein_coding	CRISPR		
CCAT1	SRGN	protein_coding	CRISPR		
CCAT1	TNFAIP3	protein_coding	CRISPR		
CCAT1	LYPD3	protein_coding	CRISPR		
CCAT1	HES2	transcription_factor	CRISPR		
CCAT1	DRAM1	protein_coding	CRISPR		
CCAT1	LINC00319	lncRNA	CRISPR		
CCAT1	ITGA5	protein_coding	CRISPR		
CCAT1	LAMB3	protein_coding	CRISPR		
CCAT1	PHLDA1	protein_coding	CRISPR		
CCAT1	GRN	protein_coding	CRISPR		
CCAT1	STIM1	protein_coding	CRISPR		
CCAT1	MYH9	protein_coding	CRISPR		
CCAT1	FOSL2	transcription_factor	CRISPR		
CCAT1	STAT1	transcription_factor	CRISPR		
CCAT1	ZNFX1	protein_coding	CRISPR		
CCAT1	JAG1	protein_coding	CRISPR		
CCAT1	BCL2L1	protein_coding	CRISPR	ceRNA or sponge	valid
CCAT1	SMOC1	protein_coding	CRISPR		
CCAT1	DNAJB9	protein_coding	CRISPR		
CCAT1	SLC2A1	protein_coding	CRISPR		
CCAT1	FLNB	protein_coding	CRISPR		
CCAT1	ITGAV	protein_coding	CRISPR		
CCAT1	AXL	protein_coding	CRISPR		
CCAT1	NT5E	protein_coding	CRISPR		
CCAT1	IL18	protein_coding	CRISPR		
CCAT1	OLR1	protein_coding	CRISPR		
CCAT1	CCDC80	protein_coding	CRISPR		
CCAT1	TGFBI	protein_coding	CRISPR		
CCAT1	DUSP4	protein_coding	CRISPR		
CCAT1	GLS	protein_coding	CRISPR		
CCAT1	EHD2	protein_coding	CRISPR		
CCAT1	CDKN2B	protein_coding	CRISPR		
CCAT1	ECM1	protein_coding	CRISPR		
CCAT1	C1QTNF1-AS1	lncRNA	CRISPR		
CCAT1	KRT7	protein_coding	CRISPR		
CCAT1	DUSP1	protein_coding	CRISPR		
CCAT1	KRT14	protein_coding	CRISPR		
CCAT1	TGFBR2	protein_coding	CRISPR		
CCAT1	TIMP2	protein_coding	CRISPR		
CCAT1	EPAS1	protein_coding	CRISPR		
CCAT1	ABCA1	protein_coding	CRISPR		
CCAT1	LOXL2	protein_coding	CRISPR		
CCAT1	FGF2	protein_coding	CRISPR		
CCAT1	OSMR	protein_coding	CRISPR		
CCAT1	PDCD1LG2	protein_coding	CRISPR		
CCAT1	FAM83A	protein_coding	CRISPR		
CCAT1	MUC1	protein_coding	CRISPR		
CCAT1	PLK2	protein_coding	CRISPR		
CCAT1	SLC7A11	protein_coding	CRISPR		
CCAT1	STAT2	transcription_factor	CRISPR		
CCAT1	LINC00886	lncRNA	CRISPR		
CCAT1	ITGB4	protein_coding	CRISPR		
CCAT1	WNT7B	protein_coding	CRISPR		
CCAT1	PLSCR4	protein_coding	CRISPR		
CCAT1	DKK1	protein_coding	CRISPR		
CCAT1	ACTA2	protein_coding	CRISPR		
CCAT1	LINC00968	lncRNA	CRISPR		
CCAT1	ITGA3	protein_coding	CRISPR		
CCAT1	TP53INP1	protein_coding	CRISPR		
CCAT1	WNT5A	protein_coding	CRISPR		
CCAT1	ITGB8	protein_coding	CRISPR		
