h_name	h_in_db	t_name	t_in_db	relation	split
CCAT1	True	BRIX1	False		
CCAT1	True	PDK1	True		
CCAT1	True	DUSP9	False		
CCAT1	True	TGIF2	False		
CCAT1	True	LRFN1	False		
CCAT1	True	AC074389.9	False		
CCAT1	True	TFR2	False		
CCAT1	True	COL9A3	False		
CCAT1	True	WDR74	False		
CCAT1	True	GK	False		
CCAT1	True	DNAJC12	False		
CCAT1	True	FKBP5	True		
CCAT1	True	FRAT2	False		
CCAT1	True	TAF4B	False		
CCAT1	True	HPDL	False		
CCAT1	True	CUTC	False		
CCAT1	True	VPS9D1-AS1	True		
CCAT1	True	NDUFA5	False		
CCAT1	True	PLA2G4A	True		
CCAT1	True	LBR	False		
CCAT1	True	WDR3	False		
CCAT1	True	SNCA	True		
CCAT1	True	ZNF639	False		
CCAT1	True	NUFIP1	False		
CCAT1	True	NPM1	True		
CCAT1	True	ANKRD13B	False		
CCAT1	True	MVK	False		
CCAT1	True	GEMIN2	False		
CCAT1	True	ESD	False		
CCAT1	True	SSB	False		
CCAT1	True	FBL	False		
CCAT1	True	SLC25A15	True		
CCAT1	True	MEST	False		
CCAT1	True	PDSS1	False		
CCAT1	True	RNASEH2B	False		
CCAT1	True	DBI	False		
CCAT1	True	RFC3	False		
CCAT1	True	ASB13	False		
CCAT1	True	MATK	False		
CCAT1	True	NIFK	False		
CCAT1	True	VRK1	False		
CCAT1	True	SAP30	False		
CCAT1	True	TAF5	False		
CCAT1	True	POLE2	False		
CCAT1	True	FAM122C	False		
CCAT1	True	GAGE2B	False		
CCAT1	True	LONRF1	False		
CCAT1	True	FGFR4	False		
CCAT1	True	ACAT1	False		
CCAT1	True	LAMC3	False		
CCAT1	True	C12orf29	False		
CCAT1	True	INSL4	False		
CCAT1	True	DSCC1	False		
CCAT1	True	ZNF239	False		
CCAT1	True	PARPBP	False		
CCAT1	True	DHRS13	False		
CCAT1	True	TSEN2	False		
CCAT1	True	FBXO5	False		
CCAT1	True	CAMKK1	False		
CCAT1	True	AGR2	True		
CCAT1	True	CENPV	False		
CCAT1	True	LYSMD2	False		
CCAT1	True	SNHG1	True		
CCAT1	True	PCDH17	False		
CCAT1	True	BOP1	False		
CCAT1	True	SUV39H2	False		
CCAT1	True	ZNF146	False		
CCAT1	True	ZNRD1	False		
CCAT1	True	PLK4	True		
CCAT1	True	CCDC34	False		
CCAT1	True	EBPL	False		
CCAT1	True	DEPDC1B	False		
CCAT1	True	SAPCD2	True		
CCAT1	True	PRMT3	False		
CCAT1	True	BARX1	False		
CCAT1	True	TIPIN	False		
CCAT1	True	NES	True		
CCAT1	True	SNRPD3	False		
CCAT1	True	PRIM1	False		
CCAT1	True	AGMAT	False		
CCAT1	True	KIAA0020	False		
CCAT1	True	GTF3A	False		
CCAT1	True	ID2	True		
