h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENSG00000270022		False	ENSG00000242247	ARFGAP3	False		
ENSG00000277142	LINC00235	False	ENSG00000242612	DECR2	False		
TCONS_00004186		False	ENSG00000243147	MRPL33	False		
ENSG00000251562	MALAT1	True	ENSG00000245532	NEAT1	True		
ENSG00000270117		False	ENSG00000245532	NEAT1	True		
ENSG00000271918		False	ENSG00000251201	TMED7-TICAM2	False		
ENSG00000251562	MALAT1	True	ENSG00000254614	CAPN1-AS1	False		
ENSG00000270117		False	ENSG00000254614	CAPN1-AS1	False		
ENSG00000272735		False	ENSG00000258881		False		
ENSG00000272888	CHASERR	False	ENSG00000258922		False		
ENSG00000276651		False	ENSG00000259248	USP3-AS1	False		
ENSG00000239791		False	ENSG00000260167		False		
ENSG00000277142	LINC00235	False	ENSG00000260394	STUB1-DT	False		
ENSG00000239791		False	ENSG00000260869		False		
STRG.2925		False	ENSG00000260879		False		
ENSG00000239791		False	ENSG00000261459		False		
ENSG00000260369		False	ENSG00000263069	RNF213-AS1	False		
ENSG00000275966		False	ENSG00000266074	BAHCC1	False		
ENSG00000261334		False	ENSG00000268050		False		
ENSG00000261334		False	ENSG00000268615		False		
ENSG00000279631		False	ENSG00000269897	COMMD3-BMI1	True		
ENSG00000278601		False	ENSG00000270589		False		
ENSG00000273026		False	ENSG00000271853		False		
ENSG00000282386		False	ENSG00000271853		False		
ENSG00000282386		False	ENSG00000272030		False		
ENSG00000273026		False	ENSG00000272030		False		
ENSG00000284602		False	ENSG00000272432		False		
ENSG00000180539	LINC02908	False	ENSG00000272679		False		
ENSG00000177337	DLGAP1-AS1	True	ENSG00000272688		False		
ENSG00000180539	LINC02908	False	ENSG00000272896		False		
ENST00000561649		False	ENSG00000274751		False		
ENSG00000275966		False	ENSG00000274833		False		
ENSG00000279692		False	ENSG00000275542		False		
ENSG00000274833		False	ENSG00000275542		False		
ENSG00000279059		False	ENSG00000275710		False		
ENSG00000274833		False	ENSG00000275966		False		
ENSG00000279692		False	ENSG00000275966		False		
ENSG00000277969		False	ENSG00000276293	PIP4K2B	False		
ENSG00000277969		False	ENSG00000277182		False		
ENST00000412643		False	ENSG00000277232	GTSE1-DT	False		
ENSG00000277969		False	ENSG00000277258	PCGF2	False		
ENSG00000278999		False	ENSG00000277383		False		
ENSG00000277969		False	ENSG00000277972	CISD3	False		
ENSG00000270589		False	ENSG00000278601		False		
ENSG00000239791		False	ENSG00000278922		False		
ENSG00000275710		False	ENSG00000279059		False		
ENSG00000180539	LINC02908	False	ENSG00000279073		False		
ENST00000503470		False	ENSG00000279469		False		
ENSG00000275966		False	ENSG00000279692		False		
STRG.2925		False	ENSG00000280186		False		
ENSG00000277142	LINC00235	False	ENSG00000282907		False		
ENSG00000254024		False	ENSG00000283959		False		
TCONS_l2_00026663		False	ENSG00000284461		False		
ENSG00000282386		False	ENSG00000285867		False		
ENSG00000273026		False	ENSG00000285867		False		
ENSG00000261334		False	ENST00000316786		False		
ENST00000456526		False	ENST00000355358		False		
ENST00000456526		False	ENST00000458727		False		
STRG.24527		False	ENST00000366314		False		
ENST00000589310		False	ENST00000397381		False		
ENSG00000261334		False	ENST00000436710		False		
ENSG00000268858		False	ENST00000449500		False		
ENSG00000268858		False	ENST00000411579		False		
ENST00000429053		False	ENST00000453790		False		
TCONS_00006285		False	ENST00000463449		False		
TCONS_00006285		False	ENST00000472943		False		
ENSG00000272933	TRIM8-DT	False	ENST00000492465		False		
ENSG00000254024		False	ENST00000517910		False		
ENSG00000275966		False	ENST00000571724		False		
ENST00000573220		False	ENST00000573042		False		
ENST00000573042		False	ENST00000573220		False		
ENSG00000274213		False	ENST00000576871		False		
ENSG00000177337	DLGAP1-AS1	True	ENST00000579007		False		
ENSG00000262001	DLGAP1-AS2	True	ENST00000579007		False		
ENSG00000273702		False	ENST00000589740		False		
ENST00000412643		False	ENST00000608290		False		
ENSG00000272933	TRIM8-DT	False	ENST00000625129		False		
ENSG00000260879		False	STRG.2925		False		
ENSG00000280186		False	STRG.2925		False		
TCONS_00004186		False	TCONS_00003617		False		
ENSG00000271788		False	TCONS_00009934		False		
ENSG00000272686	WASL-DT	False	TCONS_00013943		False		
STRG.24527		False	TCONS_00024749		False		
TCONS_00028182		False	TCONS_00028557		False		
