h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENSG00000279631		False	ENSG00000077327	SPAG6	False		
ENSG00000223776	LGALS8-AS1	False	ENSG00000077585	GPR137B	False		
ENST00000533437		False	ENSG00000078124	ACER3	False		
ENSG00000272444		False	ENSG00000078304	PPP2R5C	False		
ENST00000417845		False	ENSG00000078403	MLLT10	False		
ENSG00000242798		False	ENSG00000078487	ZCWPW1	False		
ENSG00000263884	THOC1-DT	False	ENSG00000079134	THOC1	False		
ENSG00000268069		False	ENSG00000079337	RAPGEF3	False		
ENSG00000279539		False	ENSG00000079432	CIC	False		
ENSG00000279539		False	ENSG00000079462	PAFAH1B3	False		
ENSG00000267100	ILF3-DT	True	ENSG00000079999	KEAP1	False		
ENST00000585911		False	ENSG00000080031	PTPRH	False		
ENSG00000280211		False	ENSG00000080603	SRCAP	False		
ENSG00000260899		False	ENSG00000080603	SRCAP	False		
ENSG00000260083	MIR762HG	False	ENSG00000080603	SRCAP	False		
ENSG00000260852	FBXL19-AS1	True	ENSG00000080603	SRCAP	False		
ENSG00000278922		False	ENSG00000080603	SRCAP	False		
ENSG00000271780		False	ENSG00000080824	HSP90AA1	True		
ENSG00000226167	AP4B1-AS1	False	ENSG00000081019	RSBN1	False		
ENSG00000235527	HIPK1-AS1	False	ENSG00000081019	RSBN1	False		
ENSG00000256628	ZBTB11-AS1	False	ENSG00000081154	PCNP	False		
ENSG00000276063		False	ENSG00000081177	EXD2	False		
TCONS_00026215		False	ENSG00000081923	ATP8B1	False		
ENST00000582787		False	ENSG00000082641	NFE2L1	True		
ENSG00000270091		False	ENSG00000083290	ULK2	False		
ENST00000517910		False	ENSG00000083307	GRHL2	False		
ENSG00000285646		False	ENSG00000083444	PLOD1	False		
ENSG00000267858	MZF1-AS1	False	ENSG00000083807	SLC27A5	False		
ENSG00000273901		False	ENSG00000083812	ZNF324	False		
ENSG00000269106		False	ENSG00000083838	ZNF446	False		
ENSG00000268895	A1BG-AS1	True	ENSG00000083845	RPS5	False		
ENSG00000269106		False	ENSG00000083845	RPS5	False		
ENSG00000267858	MZF1-AS1	False	ENSG00000083845	RPS5	False		
ENSG00000233220	PRDM10-DT	False	ENSG00000084234	APLP2	False		
ENSG00000256339		False	ENSG00000084463	WBP11	False		
ENSG00000272056		False	ENSG00000084774	CAD	False		
ENSG00000270135		False	ENSG00000085274	MYNN	False		
ENSG00000270096		False	ENSG00000085274	MYNN	False		
ENSG00000273382	TMEM167B-DT	False	ENSG00000085433	WDR47	False		
